k,Multilinear test_start index,Multilinear test_end index,SRDA test_start index,SRDA test_end index,SRKDA test_start index,SRKDA test_end index
1,1,100,1,100,1,100
2,101,200,101,200,101,200
3,201,300,201,300,201,300
4,301,400,301,400,301,400
5,401,500,401,500,401,500
6,501,600,501,600,501,600
7,601,700,601,700,601,700
8,701,800,701,800,701,800
9,801,900,801,900,801,900
10,901,1000,901,1000,901,1000
11,1001,1100,1001,1100,1001,1100
12,1101,1200,1101,1200,1101,1200
13,1201,1300,1201,1300,1201,1300
14,1301,1400,1301,1400,1301,1400
15,1401,1500,1401,1500,1401,1500
16,1501,1600,1501,1600,1501,1600
17,1601,1700,1601,1700,1601,1700
18,1701,1800,1701,1800,1701,1800
19,1801,1900,1801,1900,1801,1900
20,1901,2000,1901,2000,1901,2000
21,2001,2100,2001,2100,2001,2100
22,2101,2200,2101,2200,2101,2200
23,2201,2300,2201,2300,2201,2300
24,2301,2400,2301,2400,2301,2400
25,2401,2500,2401,2500,2401,2500
26,2501,2600,2501,2600,2501,2600
27,2601,2700,2601,2700,2601,2700
28,2701,2800,2701,2800,2701,2800
29,2801,2900,2801,2900,2801,2900
30,2901,3000,2901,3000,2901,3000
31,3001,3100,3001,3100,3001,3100
32,3101,3200,3101,3200,3101,3200
33,3201,3300,3201,3300,3201,3300
34,3301,3400,3301,3400,3301,3400
35,3401,3500,3401,3500,3401,3500
36,3501,3600,3501,3600,3501,3600
37,3601,3700,3601,3700,3601,3700
38,3701,3800,3701,3800,3701,3800
39,3801,3900,3801,3900,3801,3900
40,3901,4000,3901,4000,3901,4000
41,4001,4100,4001,4100,4001,4100
42,4101,4200,4101,4200,4101,4200
43,4201,4300,4201,4300,4201,4300
