k,Multilinear_Reg,SRDA_Test,SRKDA_Test
1,0.5464,0.6,0.5
2,0.474,0.43,0.6
3,0.4156,0.45,0.55
4,0.5096,0.55,0.51
5,0.428,0.49,0.6
6,0.4704,0.49,0.69
7,0.5352,0.47,0.65
8,0.4504,0.47,0.59
9,0.4692,0.5,0.56
10,0.48,0.52,0.56
11,0.4808,0.52,0.59
12,0.4608,0.43,0.74
13,0.5384,0.56,0.56
14,0.3996,0.41,0.56
15,0.4384,0.41,0.53
16,0.4848,0.51,0.57
17,0.6024,0.55,0.61
18,0.5308,0.59,0.66
19,0.61,0.59,0.61
20,0.4732,0.53,0.58
21,0.4192,0.45,0.64
22,0.4796,0.51,0.57
23,0.5168,0.49,0.49
24,0.5068,0.52,0.61
25,0.4888,0.47,0.6
26,0.5652,0.56,0.55
27,0.5052,0.53,0.59
28,0.4344,0.39,0.57
29,0.5144,0.5,0.68
30,0.3436,0.37,0.67
31,0.48,0.54,0.53
32,0.5408,0.52,0.66
33,0.4768,0.44,0.71
34,0.4748,0.49,0.64
35,0.4336,0.42,0.58
36,0.4864,0.5,0.59
37,0.4656,0.49,0.63
38,0.546,0.56,0.64
39,0.5556,0.57,0.68
40,0.4888,0.45,0.56
41,0.5184,0.47,0.6
42,0.4744,0.46,0.66
43,0.5248,0.5,0.66
